PickupDate,fhvrides,Yellowrides,Greenrides
2017-06-10T00:00:00.0000000,594936,337959,41417
2015-05-22T00:00:00.0000000,139276,419629,60792
2015-10-01T00:00:00.0000000,294140,394043,54340
2017-07-03T00:00:00.0000000,405165,193217,25744
2016-08-02T00:00:00.0000000,336761,330690,37003
2018-04-07T00:00:00.0000000,757627,321219,29965
2015-05-09T00:00:00.0000000,144168,469017,73424
2018-12-26T00:00:00.0000000,540976,184319,16929
2016-02-21T00:00:00.0000000,302549,372128,55142
2016-08-22T00:00:00.0000000,318245,283148,32071
2018-08-22T00:00:00.0000000,657196,259746,19138
2016-04-27T00:00:00.0000000,312641,374952,42607
2017-11-03T00:00:00.0000000,654170,347466,34693
2015-05-10T00:00:00.0000000,124611,405427,64676
2016-04-21T00:00:00.0000000,339177,390407,47334
2015-12-09T00:00:00.0000000,295253,391440,46911
2015-12-14T00:00:00.0000000,284541,370299,45771
2017-01-27T00:00:00.0000000,504193,363905,41700
2016-01-09T00:00:00.0000000,291508,405825,56861
2015-05-25T00:00:00.0000000,93976,301706,44000
2015-11-24T00:00:00.0000000,283114,377950,46597
2016-05-17T00:00:00.0000000,342808,397628,43709
2016-12-06T00:00:00.0000000,466585,350832,39221
2016-06-03T00:00:00.0000000,394452,401806,54391
2016-04-04T00:00:00.0000000,344697,374947,46640
2018-03-18T00:00:00.0000000,700826,278789,25602
2018-03-12T00:00:00.0000000,636584,293843,25172
2015-03-23T00:00:00.0000000,93854,390353,46717
2018-09-17T00:00:00.0000000,666133,267579,20915
2017-07-20T00:00:00.0000000,557824,324259,30881
2017-06-19T00:00:00.0000000,503177,306068,29926
2015-10-17T00:00:00.0000000,311542,459236,68948
2016-07-08T00:00:00.0000000,376455,347552,45842
2015-12-26T00:00:00.0000000,193476,238646,39455
2017-09-04T00:00:00.0000000,453338,203364,23108
2015-08-05T00:00:00.0000000,174992,391642,43758
2018-03-26T00:00:00.0000000,620395,280093,24345
2017-08-04T00:00:00.0000000,568021,297206,32222
2015-10-15T00:00:00.0000000,282461,407496,49586
